miRNA_name,LX-2,LX-2A,S-T1,S-T1A,H-T2,H-T2A
hsa-miR-16-5p,677157,578435,126280,510273,249503,340714
hsa-miR-17-3p,713,313,877,1295,313,478
hsa-miR-17-5p,7325,5463,18761,24738,5399,5500
hsa-miR-181a-2-3p,2308,13565,10564,11993,1016,2657
hsa-miR-181a-3p,1834,2282,496,3,543,3870
hsa-miR-181a-5p,78839,188673,210862,183360,87570,210143
hsa-miR-181b-2-3p,41,110,69,51,24,45
hsa-miR-181b-3p,30,5,36,1,13,17
hsa-miR-181b-5p,23665,73258,189009,94425,72592,76664
hsa-miR-181c-3p,379,276,1643,831,99,145
hsa-miR-181c-5p,3410,5256,27756,19313,1860,3154
hsa-miR-181d-3p,5,3,14,23,1,2
hsa-miR-181d-5p,20107,3146,173102,16188,61957,2560
hsa-miR-182-3p,127,78,139,526,194,676
hsa-miR-182-5p,26420,21875,222970,145447,130024,42515
hsa-miR-1827,4,5,3,12,5,9
hsa-miR-183-3p,179,203,2271,1149,2198,1850
hsa-miR-183-5p,6015,7966,99512,50454,58723,59700
hsa-miR-184,0,2,8,1,0,0
hsa-miR-185-3p,53,10,19,43,37,31
hsa-miR-185-5p,6006,3892,11313,7143,11986,8577
hsa-miR-186-3p,4,0,5,3,1,3
hsa-miR-186-5p,1597,595,1281,4500,1104,1521
hsa-miR-187-3p,6,12,16,17,3,8
hsa-miR-187-5p,0,0,1,2,0,0
hsa-miR-188-3p,11,7,8,28,11,7
hsa-miR-188-5p,95,51,279,331,183,200
hsa-miR-18a-3p,182,65,212,476,105,175
hsa-miR-18a-5p,2083,1832,6214,5687,1442,1453
hsa-miR-18b-5p,1955,11,5881,31,1356,13
hsa-miR-1908-3p,62,82,26,500,31,49
hsa-miR-1908-5p,1373,997,2996,3557,1001,149
hsa-miR-1909-3p,8,2,12,7,14,8
hsa-miR-1909-5p,10,7,16,5,17,5
hsa-miR-190a-3p,516,94,9,62,1,2
hsa-miR-190a-5p,4509,1585,1849,1054,136,65
hsa-miR-190b,28,48,1108,125,218,158
hsa-miR-1910-3p,11,3,1,7,6,9
hsa-miR-1910-5p,34,63,216,355,108,179
hsa-miR-1911-3p,0,0,0,0,17,52
hsa-miR-1913,20,6,0,0,9,9
hsa-miR-191-3p,220,745,1207,2565,274,1699
hsa-miR-1914-3p,10,6,258,29,28,16
hsa-miR-1914-5p,8,18,127,69,5,10
hsa-miR-1915-3p,0,0,24,12,8,3
hsa-miR-1915-5p,7,4,252,70,44,47
hsa-miR-191-5p,175965,207993,305226,519574,156874,264782
hsa-miR-192-3p,98,64,16,30,310,437
hsa-miR-192-5p,22286,25079,5991,30995,194063,379676
hsa-miR-193a-3p,1004,191,148,1810,1789,3277
hsa-miR-193a-5p,995,743,780,4979,3342,2805
hsa-miR-193b-3p,27400,12970,67397,124393,37343,52896
hsa-miR-193b-5p,345,355,4812,1123,826,355
hsa-miR-194-3p,58,54,14,136,221,775
hsa-miR-194-5p,4780,4841,1954,7537,55502,51439
hsa-miR-195-3p,37,192,79,92,15,143
hsa-miR-195-5p,1572,2816,263,667,822,1099
hsa-miR-196a-3p,9,4,48,148,5,1
hsa-miR-196a-5p,14359,27952,112382,503141,4262,11762
hsa-miR-196b-3p,0,1,33,15,4,1
hsa-miR-196b-5p,12623,1218,106885,48544,4807,4746
hsa-miR-1972,0,0,1,0,0,1
hsa-miR-197-3p,9642,5305,1554,13371,3715,3744
hsa-miR-197-5p,218,119,297,152,119,48
hsa-miR-1976,2,3,10,4,4,4
hsa-miR-199a-3p,2601,7222,200,1495,60,1174
hsa-miR-199a-5p,254,1609,17,229,3,210
hsa-miR-199b-3p,2601,7222,200,1495,60,1174
hsa-miR-199b-5p,2,12,8,44,0,6
hsa-miR-19a-3p,13648,313,19201,707,5597,207
hsa-miR-19a-5p,6,0,1,1,2,0
hsa-miR-19b-1-5p,137,83,55,185,20,37
hsa-miR-19b-3p,14664,11410,21374,38364,6092,11282
hsa-miR-200a-3p,9,507,372,376,16628,20058
hsa-miR-200a-5p,0,26,26,18,311,1236
hsa-miR-200b-3p,5,309,276,295,15701,16856
hsa-miR-200b-5p,0,10,24,16,512,737
hsa-miR-200c-3p,172,578,7422,8093,22827,26023
hsa-miR-200c-5p,0,2,54,35,19,131
hsa-miR-202-5p,11,2,6,9,4,5
hsa-miR-203a-3p,8,50,6437,28612,174,543
hsa-miR-203a-5p,0,1,100,236,4,3
hsa-miR-203b-3p,0,0,2,16,0,0
hsa-miR-204-3p,1,0,0,2,0,1
hsa-miR-204-5p,21,41,858,270,37,55
hsa-miR-205-5p,10,8,3,4,5,3
hsa-miR-20a-3p,165,50,73,202,10,51
hsa-miR-20a-5p,11618,8819,53028,42592,9667,10352
hsa-miR-20b-5p,104,37,208,177,58,61
hsa-miR-210-3p,2477,1654,781,485,1377,381
hsa-miR-210-5p,1003,394,484,231,841,48
hsa-miR-2110,1967,2074,10519,4365,2883,1909
hsa-miR-2113,0,0,2,5,0,1
hsa-miR-211-3p,0,0,0,4,0,0
hsa-miR-2114-5p,15,1,0,0,2,5
hsa-miR-2115-3p,0,0,1,0,1,12
hsa-miR-2115-5p,0,0,0,0,2,9
hsa-miR-211-5p,0,7,2,206,0,7
hsa-miR-2116-3p,159,262,508,937,206,353
hsa-miR-2116-5p,14,20,44,48,28,38
hsa-miR-212-3p,139,199,807,12570,399,541
hsa-miR-212-5p,12,4,65,425,10,16
hsa-miR-21-3p,14962,12582,4967,6642,8195,22736
hsa-miR-214-3p,461,772,10,65,9,62
hsa-miR-214-5p,75,181,1,21,0,20
hsa-miR-215-3p,1,0,0,0,5,5
hsa-miR-215-5p,3037,106,877,115,25726,1384
